Label,Type,Description,Tag
Adam Smith,Classical liberalism,Western philosophy,
Aristotle,Peripatetic school,Western philosophy,Ancient Greek philosophy
John Locke,Empiricism,Western philosophy,Age of Enlightenment
Bernard Mandeville,Classical economics,Western philosophy,18th-century philosophy
Richard Cantillon,Physiocracy,,Age of Reason
Francis Hutcheson (philosopher),Empiricism,Western philosophy,18th-century philosophy
David Hume,Scottish Enlightenment,Western philosophy,18th-century philosophy
François Quesnay,Physiocrats,Western philosophy,Age of Enlightenment
Edmund Burke,Conservatism,Western philosophy,Age of Enlightenment
Pietro Verri,,,18th century
Frédéric Bastiat,,,
Joseph de Maistre,Conservatism,Western philosophy,18th-century philosophy
Milton Friedman,,,
Friedrich Hayek,,,
Ludwig von Mises,,,
Murray Rothbard,,,
Citation needed,,,
Ayn Rand,,,
Hugo Kołłątaj,Polish Enlightenment,Western philosophy,Age of Enlightenment
Paul Krugman,,,
Thomas Sowell,,,
Georg Wilhelm Friedrich Hegel,Absolute idealism,Western philosophy,19th-century philosophy
Thomas Hodgskin,,,
C. H. Douglas,,,
John Maynard Keynes,,,
Thomas Robert Malthus,,,
Karl Marx,Continental philosophy,Western philosophy,19th-century philosophy
John Stuart Mill,Empiricism,Western philosophy,19th-century philosophy
Pierre-Joseph Proudhon,Anarchism,Western philosophy,19th-century philosophy
David Ricardo,,,
Henri de Saint-Simon,Saint-Simonianism,Western philosophy,19th-century philosophy
Jean-Baptiste Say,,,
Jean Charles Léonard de Sismondi,,,
Roman Rybarski,,,
Noam Chomsky,,,
Henry George,Georgism,Western philosophy,Modern philosophy
Auguste Comte,Positivism,Western philosophy,19th-century philosophy
John Forbes Nash Jr.,,,
Emmanuel Joseph Sieyès,,,
Plato,Platonic Academy,,Ancient Greek philosophy
Socrates,Classical Greek philosophy,Western philosophy,Ancient Greek philosophy
Heraclitus,Ionian,Western philosophy,Pre-Socratic philosophy
Parmenides,Eleatic school,Western philosophy,Pre-Socratic philosophy
Empedocles,,Western philosophy,Pre-Socratic philosophy
Phaleas of Chalcedon,,,
Hippodamus of Miletus,,,
Hippias,,,
Averroism,,,
Avicennism,,,
Neo-Aristotelianism (literature),,,
Maimonides,Aristotelianism,Middle Eastern philosophy,Medieval philosophy
Objectivism,,,
Peripatetic school,,,
Scholasticism,,,
Lullism,,,
Neo-scholasticism,,,
Scotism,,,
Second scholasticism,,,
Thomism,,,
Middle Platonism,,,
Neoplatonism,,,
List of writers influenced by Aristotle,,,
Commentaries on Aristotle,,,
Pseudo-Aristotle,,,
Pythagoras,Pythagoreanism,Western philosophy,Pre-Socratic philosophy
Western philosophy,,,
Thales of Miletus,Ionian,Western philosophy,Pre-Socratic philosophy
Anaximander,Ionian,Western philosophy,Pre-Socratic philosophy
Pherecydes of Syros,Pre-Socratic,Western philosophy,Ancient Greek philosophy
Themistoclea,,,
Orphism (religion),,,
Pythagoreanism,,,
Xenophanes,,Western philosophy,Pre-Socratic philosophy
Babylonian astronomy,,,
Ancient Egyptian mathematics,,,
Ancient Egyptian religion,,,
Anaximenes of Miletus,Ionian,Western philosophy,Pre-Socratic philosophy
Democritus,Atomism,Western philosophy,Pre-Socratic philosophy
Ancient Greek astronomy,,,
Martin Heidegger,Continental philosophy,Western philosophy,20th-century philosophy
Diogenes of Apollonia,,Western philosophy,Pre-Socratic philosophy
Anaxagoras,Ionian school,Western philosophy,Ancient philosophy
Ionian School (philosophy),,,
Bias of Priene,,,
Zoroastrianism,,Iran,
Historical Vedic religion,,,
Hippocrates,,,Classical Greece
Cratylus,,,
Cynicism (philosophy),,,
Cleanthes,Stoicism,Western philosophy,Hellenistic philosophy
Aenesidemus,Pyrrhonism,Western philosophy,Hellenistic philosophy
Justin Martyr,Middle Platonism,,Ancient philosophy
Marcus Aurelius,Stoicism,Western philosophy,Hellenistic philosophy
Hippolytus of Rome,,,
Clement of Alexandria,Middle Platonism,Western philosophy,Ancient philosophy
Simplicius of Cilicia,Neoplatonism,Byzantine Empire,Late antiquity
Epimenides,,,
Homer,,,
Epicharmus of Kos,,,
Timon of Phlius,Skepticism,Western philosophy,Hellenistic philosophy
Baruch Spinoza,Rationalism,Western philosophy,17th-century philosophy
Karl Popper,Analytic philosophy,Western philosophy,20th-century philosophy
Zeno of Elea,Eleatic,Western philosophy,Pre-Socratic philosophy
Melissus of Samos,Eleatic school,Western philosophy,Ancient philosophy
Protagoras,Sophistic movement,Western philosophy,Pre-Socratic philosophy
Gorgias,Sophists,Western philosophy,Pre-Socratic philosophy
Jeremy Bentham,Utilitarianism,Western philosophy,18th-century philosophy
Friedrich Nietzsche,Continental philosophy,Western philosophy,19th-century philosophy
F. C. S. Schiller,pragmatism,Western philosophy,19th
Joseph Margolis,Historicism,Western philosophy,Contemporary philosophy
Leucippus,Atomism,,Pre-Socratic philosophy
Eleatics,,,
Epicurus,Epicureanism,Western philosophy,Hellenistic philosophy
Pyrrho,Skepticism,Western philosophy,Hellenistic philosophy
Lucretius,Epicureanism,,Hellenistic philosophy
Archelaus (philosopher),Pluralist school,Western philosophy,Ancient philosophy
Pericles,,,
Prodicus,,,
Diotima of Mantinea,,Ancient Greece,
Damon of Athens,,,
Xenophon,,,
Antisthenes,Cynicism,Western philosophy,Ancient Greek philosophy
Aristippus,Cyrenaic school,Western philosophy,Ancient Greek philosophy
Euclid of Megara,Megarian school,Western philosophy,Ancient philosophy
Phaedo of Elis,,,
Diogenes,Cynicism,Western philosophy,Ancient Greek philosophy
Crates of Thebes,Cynicism,Western philosophy,Hellenistic philosophy
Stoicism,,,
Thucydides,,,
Isocrates,,,
Hipparchia of Maroneia,Cynicism,Greek philosophy,Ancient philosophy
Metrocles,Cynicism,Western philosophy,Hellenistic philosophy
Zeno of Citium,Stoicism,Western philosophy,Hellenistic philosophy
Diodorus Cronus,,,
Philo the Dialectician,,,
Polemon (scholarch),,,
Stilpo,Megarian school,Western philosophy,Ancient philosophy
Chrysippus,Stoicism,Western philosophy,Hellenistic philosophy
Panaetius,Stoicism,Western philosophy,Ancient philosophy
Posidonius,Stoicism,Western philosophy,Hellenistic philosophy
Seneca the Younger,Stoicism,Western philosophy,Hellenistic philosophy
Epictetus,Stoicism,Western philosophy,Hellenistic philosophy
Peter Kropotkin,Anarchism,Russian philosophy,19th-century philosophy
Sophocles,,,
Xenocrates,Platonism,Western philosophy,Ancient philosophy
Crates of Athens,,,
Crantor,,,
Arcesilaus,Academic Skepticism,Western philosophy,Hellenistic philosophy
Speusippus,Platonism,Western philosophy,Ancient philosophy
Theodorus the Atheist,,,
Bion of Borysthenes,Cynicism,,
Theophrastus,Peripatetic school,Western philosophy,Ancient philosophy
Lacydes of Cyrene,,,
Carneades,Academic skepticism,Western philosophy,Hellenistic philosophy
Clitomachus (philosopher),Academic skepticism,,
Philo of Larissa,Academic skepticism,,
Cicero,Academic skepticism,Western philosophy,Hellenistic philosophy
Plutarch,Middle Platonism,Ancient philosophy,Hellenistic philosophy
Favorinus,Skepticism,Western philosophy,Hellenistic philosophy
The Buddha,,,
Nausiphanes,,,
Sextus Empiricus,Pyrrhonism,Western philosophy,Hellenistic philosophy
Galen,,,
